,sub-burough,mean_income_99_delta_1,mean_income_99_delta_2,mean_income_99_delta_3,std_income_99_delta_1,std_income_99_delta_2,std_income_99_delta_3,std_mcr_rent_99_delta_1,std_mcr_rent_99_delta_2,std_mcr_rent_99_delta_3,mean_mcr_rent_99_delta_1,mean_mcr_rent_99_delta_2,mean_mcr_rent_99_delta_3,std_value_99_delta_1,std_value_99_delta_2,std_value_99_delta_3,mean_value_99_delta_1,mean_value_99_delta_2,mean_value_99_delta_3,std_down_99_delta_1,std_down_99_delta_2,std_down_99_delta_3,mean_down_99_delta_1,mean_down_99_delta_2,mean_down_99_delta_3,std_rooms_99_delta_1,std_rooms_99_delta_2,std_rooms_99_delta_3,mean_rooms_99_delta_1,mean_rooms_99_delta_2,mean_rooms_99_delta_3,std_brooms_99_delta_1,std_brooms_99_delta_2,std_brooms_99_delta_3,mean_brooms_99_delta_1,mean_brooms_99_delta_2,mean_brooms_99_delta_3,18_delta_1,18_delta_2,18_delta_3,30_x_delta_1,30_x_delta_2,30_x_delta_3,45_delta_1,45_delta_2,45_delta_3,60_delta_1,60_delta_2,60_delta_3,75_delta_1,75_delta_2,75_delta_3,90_delta_1,90_delta_2,90_delta_3,Cuban_delta_1,Cuban_delta_2,Cuban_delta_3,Dom_delta_1,Dom_delta_2,Dom_delta_3,Mex_delta_1,Mex_delta_2,Mex_delta_3,Not Hispanic_delta_1,Not Hispanic_delta_2,Not Hispanic_delta_3,PR_delta_1,PR_delta_2,PR_delta_3,SA_delta_1,SA_delta_2,SA_delta_3,hisp_delta_1,hisp_delta_2,hisp_delta_3,Kor_delta_1,Kor_delta_2,Kor_delta_3,amind_delta_1,amind_delta_2,amind_delta_3,asian-ind_delta_1,asian-ind_delta_2,asian-ind_delta_3,black_delta_1,black_delta_2,black_delta_3,chinese_delta_1,chinese_delta_2,chinese_delta_3,filip_delta_1,filip_delta_2,filip_delta_3,other_asian_delta_1,other_asian_delta_2,other_asian_delta_3,viet_delta_1,viet_delta_2,viet_delta_3,white_delta_1,white_delta_2,white_delta_3,1995_delta_1,1995_delta_2,1995_delta_3,1996_delta_1,1996_delta_2,1996_delta_3,1997_delta_1,1997_delta_2,1997_delta_3,1998_delta_1,1998_delta_2,1998_delta_3,1999_delta_1,1999_delta_2,1999_delta_3,8_x_delta_1,8_x_delta_2,8_x_delta_3,Excellent_delta_1,Excellent_delta_2,Excellent_delta_3,Fair_delta_1,Fair_delta_2,Fair_delta_3,Good_delta_1,Good_delta_2,Good_delta_3,Poor_delta_1,Poor_delta_2,Poor_delta_3,1_delta_1,1_delta_2,1_delta_3,10_delta_1,10_delta_2,10_delta_3,11_delta_1,11_delta_2,11_delta_3,12_delta_1,12_delta_2,12_delta_3,13_delta_1,13_delta_2,13_delta_3,14_delta_1,14_delta_2,14_delta_3,19_delta_1,19_delta_2,19_delta_3,2_delta_1,2_delta_2,2_delta_3,20_delta_1,20_delta_2,20_delta_3,21_delta_1,21_delta_2,21_delta_3,26_delta_1,26_delta_2,26_delta_3,27_delta_1,27_delta_2,27_delta_3,3_delta_1,3_delta_2,3_delta_3,30_y_delta_1,30_y_delta_2,30_y_delta_3
0,202,237071.33333333334,119163.03444444446,74901.00259259256,1456771.0287632968,364458.29555400275,54313.97253441159,-61.640616467823634,-46.7296831805113,615.3287307165275,220.76614481409007,-146.8413727776159,1153.7546704722367,-725896.3211988374,-1246485.3182160268,1729374.4116289513,605444.3833333328,974837.1211111117,-1674225.9303703709,-2192240.3733656174,902034.1057838211,-544453.1636483567,2141713.8571428573,-2146063.8571428573,39870.0,0.4261104814351184,-0.026589347078424197,0.27325966417996717,-0.02777777777777768,-0.05222222222222239,0.24666666666666703,0.027009543943948167,0.14424370401495135,-0.09226259711980034,-0.1333333333333333,0.1383333333333332,0.06907407407407407,,,,0.061111111111111116,-0.08833333333333332,0.23092592592592592,0.20555555555555555,0.04833333333333334,0.042407407407407394,-0.35000000000000003,0.02944444444444444,-0.12388888888888888,0.022222222222222227,0.006666666666666682,-0.08444444444444446,,0.003888888888888893,,,,,,0.08277777777777778,-0.13648148148148148,,,,-0.3111111111111111,-0.40888888888888886,0.4792592592592593,,0.23555555555555555,-0.24481481481481482,,0.04111111111111111,-0.061481481481481484,,0.014444444444444444,-0.001481481481481483,,,-0.3459259259259259,,,,,,,,,,-0.10555555555555556,,,,,,,,,,,,0.02777777777777779,,,,,,,,,-0.2111111111111111,-0.0011111111111111113,,,,,,,,,,,,,,,,,-0.3277777777777778,0.07944444444444446,,,,0.22629629629629627,,,-0.06648148148148149,,-0.00888888888888889,0.04962962962962962,,-0.08,0.33185185185185184,,0.07777777777777778,-0.07592592592592592,,-0.09055555555555556,0.24425925925925923,,0.3005555555555555,-0.21537037037037035,,0.2594444444444444,-0.3038888888888889,,0.041666666666666664,0.425,-0.10555555555555554,-0.11166666666666666,,,-0.6788888888888889,0.04555555555555555,,-0.0005555555555555557,,,,,,,,,-0.0011111111111111113,0.008518518518518517
1,203,362383.2631578947,87888.79858865042,-16565.65967579448,1755431.207509266,285761.6834983751,-273312.7299531966,332.32018226026196,-196.95350683995878,481.03600428978496,487.0996941896024,-165.69326848679123,858.6792885829032,209673.3874168587,-2079584.513254804,2018954.5859783175,-633869.6381578948,2153925.937481623,-2183514.3683487503,4979084.236620877,,,4098944.066666667,5893553.933333334,-4956284.714285715,0.10333198946873456,-0.2219830591442875,0.1972418030039027,-0.6644736842105265,0.07494119376653918,-0.1524864914369446,0.10530628077742299,0.024223352422456546,0.06800189007237711,-0.605263157894737,0.22155248456336363,0.05843025918124378,,,,0.17763157894736842,-0.10177153778300499,0.2321641175931862,0.013157894736842146,0.031828873860629214,0.11118234270537597,-0.12499999999999997,0.07971920023522491,-0.11951643923436212,-0.07236842105263155,-0.03436489267862394,,0.006578947368421052,0.02458835636577477,-0.06740544005861342,,,,,0.08901793590120553,-0.0957047348658302,,0.0036018817994707443,,-0.07894736842105265,-0.3856218759188474,0.4878651891198828,-0.05263157894736842,0.27139076742134666,-0.30762890374576424,,0.01639223757718318,-0.03947247916475867,,-0.00036753895912966517,-0.022712702628445828,,,-0.31165857679274656,0.4407894736842105,,,,,,,,,,,,,,,,,,,,,0.3223684210526316,,,,,,-0.14473684210526316,,,,-0.022713907674213465,,,,,,,,,,,,,,,,,-0.41447368421052627,0.06046015877683034,,,,0.09167506181884788,,0.087400764481035,0.030588881765729464,,0.08604087033225524,-0.09607106877919225,,-0.031277565421934723,0.34911621943401405,,0.0028668038812114105,0.03617547394450042,,-0.033004998529844176,0.21613700888359738,,0.2247133196118789,-0.09378148182067958,,0.22162599235518965,-0.3862075281619196,,-0.028043222581593655,0.35882406813810785,0.07236842105263158,-0.17204498676859747,,,,,,-0.014150249926492206,0.02720029306713069,-0.03289473684210526,-0.014150249926492206,0.01080685044417987,,,,,-0.002977065568950308,0.016027108709588792
2,205,421221.2961418144,-200385.466894139,86701.34346021374,2009561.412421322,-527579.2165320015,185072.47720249137,50.469150909954095,-31.363582447869362,207.143444149777,184.95357142857142,187.31739631336404,515.1486401012017,-1024384.629297799,-1067908.4018747048,1548607.9305546517,1249324.692387905,870674.2053297628,-1569260.138655834,-4994999.0,4991908.570163086,139949.09671403188,2497499.5,-7487848.5,3335293.5,0.3055756410898842,-0.15476545686482424,0.10854079950255224,-0.5104275286757036,-0.21357923379259702,0.8892519650269368,0.09581098035180646,0.010443668848989396,0.21914968837240534,-0.4259645464025028,-0.09009631581220567,0.913715446436457,,,,0.1256517205422315,-0.06690277717790352,0.10862845535635432,-0.1016684045881126,0.13505809182395367,0.14678088845712267,-0.0578727841501564,-0.02116356411696113,-0.08407665812947096,-0.04640250260688217,-0.0022027383060510275,-0.13582972710412436,,-0.04478901222303805,,,,,-0.027632950990615218,0.24614520796441064,-0.24516470899938178,,0.004535049453634518,,0.25912408759124084,-0.362674383449229,0.4244458182460479,0.010427528675703873,0.05381592018312961,-0.1473990991786629,-0.18508863399374348,0.04180883686779251,-0.011304424622449884,-0.06412930135557872,0.010452209216948128,-0.002826106155612471,,,0.06137949306720836,,,,,,,,,,,,0.032941799876357855,,,,,,,,,,0.5683003128258602,,,,,,,,,,0.003152939143955428,,,,,,,,,,,,,,,,,,,,,,0.10244634814095203,,,-0.02649474520886691,,0.03213406470003888,0.006976949571668278,,-0.036107631840366264,0.41817539521328273,,0.07631840366259232,0.02216727015808531,,-0.08582041204163608,0.3196149430362978,,0.29801753552455407,-0.3341870529011746,,0.24100548525029153,8.831581736290506e-05,,0.047121323370621526,0.12664488209838382,0.2424400417101147,-0.30795145337537255,0.023933586505343107,,,,,-0.06707554096661339,0.009008213371014748,,,,,0.010452209216948128,,,,0.012099266978715887
3,208,555300.5634032635,-420114.29304911965,430224.8392029657,2247070.656787747,-1167040.8060600716,1127973.6791839236,109.5514782832214,-50.83810102130602,169.8373725509122,334.248323947439,6.470290771175655,484.2119815668202,3216001.565920034,-1892654.8728553287,2504269.2404815294,-1200153.7230769228,1021177.8375347536,-1737946.9862527028,,,,,,,0.23000185245541038,-0.0764573986229935,0.45398728801399124,0.11491841491841459,-0.5725671918442998,0.6930800123571208,0.11710919393346042,0.07061972420537832,0.11806928774709513,-0.007692307692307665,-0.371825764596849,0.584646277417362,,,,0.07156177156177157,-0.12066728452270623,0.10271856657398826,-0.08578088578088577,0.059128822984244656,0.012666048810627106,0.07249417249417248,0.07080630213160333,-0.12465245597775715,-0.07412587412587412,-0.005282669138090834,0.02579548965091133,0.015850815850815853,-0.003985171455050979,-0.016527649057769538,,,,,0.1118628359592215,-0.13237565647204202,,-0.03410565338276182,0.013592832869941302,-0.4552447552447552,-0.05625579240037071,0.06394810009267843,0.14755244755244756,0.03864689527340129,0.08186592523941921,,-0.06552363299351252,-0.016527649057769538,,-0.0006487488415199277,-0.004479456286685203,,,-0.1336113685511276,0.3470862470862471,,,,,,,,,,,0.007568736484399135,,,,,,,,,,0.4177156177156177,,,,,,,-0.009360518999073216,,,,,,,,,,,,,,,,,,,,-0.355944055944056,0.0706209453197405,,,,0.23988260735248687,,,0.037843682421995664,,0.05291936978683966,0.039388322520852656,,-0.11269694161260427,0.16141489033055298,,0.008063021316033363,-0.002934816187828239,,-0.09026876737720112,0.20821748532591905,,0.3025949953660797,-0.3025949953660797,,0.3541241890639481,-0.28745752239728145,,0.07933271547729379,0.3847698486252703,,-0.37859128822984245,0.04525795489650911,,,,,,,,,,,0.004355885078776645,,,-0.0033364226135310475,
4,209,407199.60152365675,-42490.737640216015,-44338.4875753012,1937286.6408976896,-97677.40188400261,-104947.76182073448,98.02267230197265,-55.78294965270621,305.28083242611683,13.007407407407413,196.5176470588235,145.9299719887955,1047728.7824999378,-1986126.258758315,2341858.8488357365,-1222115.8599305004,1834798.5941697825,-2717748.204442771,,,,3749636.75,-3749236.75,2737599.4545454546,-0.21782579615255981,-0.024486149641415933,0.24233361215316251,0.5473135525260631,-0.931034482758621,1.53125,-0.1662541742233984,0.038252852353071964,0.3131362506895228,0.48297246725474463,-0.6981027558509902,1.1212349397590362,,,,-0.05934242181234965,0.08329871208973826,-0.12424698795180722,-0.03739641807003474,0.11161888935050546,0.13478915662650603,0.029350441058540483,-0.016825924387203983,-0.040286144578313254,0.05423683507083665,-0.13924664173937126,-0.002635542168674704,0.013151563753007217,-0.038845035313668466,0.03237951807228916,,,,0.07444533547179899,0.04687716382772468,-0.11332831325301204,,,,-0.24140604116546371,-0.24525688962747544,0.39683734939759036,0.16995455760491845,0.15946544799889212,-0.1871234939759036,-0.00628174284950548,0.001938789641323914,,0.007939053728949479,0.0008309098462816779,,,,0.3249246987951807,0.26081261694734026,,,,,,,,0.025225903614457833,,,0.013177710843373495,,,,,,,,,,0.5856722801390003,,,-0.044319700614808874,,,-0.05362202619620422,0.0005539398975211197,,-0.08398823843892007,-0.01696440936158427,,,,,,,-0.514683734939759,-0.10588078053996258,,,,,,,,,-0.4481422079657845,0.013986982412408255,,,,0.14156626506024095,0.0010959636460839348,0.07859022296080875,-0.021837349397590355,,0.07478188616535106,-0.03275602409638553,0.07580860732424485,-0.02021880625952084,0.34600903614457834,,0.02991275446614043,-0.02560240963855423,0.08484362469927827,-0.061279601163273786,0.05158132530120482,0.02983159582999198,0.2667220606564188,,,0.394058994599086,-0.3520331325301205,,0.0027696994876055953,0.7522590361445783,0.29419941192194604,-0.2928264783271015,,0.4756482224004277,-0.4882287771776762,,0.08839882384389201,,,,,,,0.0005539398975211197,,,0.012325162719844896,
5,210,221021.4610606061,70999.3352380952,-26254.634604948107,1349453.4850412554,264604.15781894815,-180920.7487875747,634.0139170335239,-478.74506576506707,617.1166671897367,401.5130023640661,-177.12138188608776,438.2414415430602,-614037.38369889,178695.81883828156,-1163295.8073944221,1834536.2424242422,-233736.60761904716,1419885.849704708,793736.8750760206,139040.44666680414,50830.199893231504,869547.4476190475,3762462.73015873,-1892654.367521367,0.13515334789144862,-0.11261023351709665,0.07133056132959137,-0.0066666666666659324,-0.26952380952381016,-0.24708699122106914,0.07900720814585627,0.05370193970113135,-0.05957528117660238,-0.06696969696969712,-0.022857142857142687,-0.04708699122106941,,,,0.13666666666666666,-0.12857142857142856,0.15438148443735034,0.031515151515151496,-0.06,0.12692737430167594,-0.049848484848484836,0.13333333333333333,-0.18681564245810053,-0.1056060606060606,0.09142857142857143,-0.09321628092577813,-0.012727272727272726,-0.036190476190476197,-0.0012769353551476473,,0.0047619047619047615,-0.005841979249800479,0.0019696969696969702,0.14666666666666667,-0.1376536312849162,0.002878787878787879,,,-0.044242424242424194,-0.20571428571428574,0.18046288906624108,0.011666666666666672,0.05523809523809523,-0.047118914604948124,0.0077272727272727285,-0.0038095238095238113,-0.006097366320830008,,0.009523809523809523,-0.0005107741420590575,,,-0.02110135674381483,0.7628787878787879,,,-0.03878787878787879,-0.0009523809523809528,-0.00012769353551476438,,,0.016632083000798086,-0.034999999999999996,-0.0009523809523809528,0.016632083000798086,,,,,,,,,,-0.7036363636363636,,,-0.03212121212121212,,,,,,-0.04909090909090909,-0.020952380952380955,,,,,-0.02742424242424242,0.7647619047619048,,,,,,,,,,,-0.5472727272727272,0.0838095238095238,,,,0.03224261771747806,,,0.0490023942537909,0.08106060606060607,0.014285714285714277,0.014205905826017565,0.08863636363636364,-0.07142857142857144,0.10550678371907422,0.05621212121212121,0.2257142857142857,-0.24660814046288904,0.14015151515151514,0.10761904761904764,0.08884277733439744,0.02196969696969697,0.08095238095238094,0.06448523543495611,0.14954545454545454,0.14952380952380956,-0.21347166799680767,,-0.2838095238095238,0.3458579409417398,0.06772727272727273,-0.07523809523809524,,,-0.4342857142857143,0.038978451715881886,,,,,,,0.0019696969696969702,-0.00761904761904762,,,,
6,211,263619.401025641,-48813.39957264959,242687.11965811966,1537649.1360092463,-134996.9472231774,591894.5834084039,149.91118929824975,-43.08184311355137,168.751964990219,123.43888939297699,-86.53748701972995,364.0249354005167,-9847.858689506538,-404582.81857709866,243352.01501036063,25427.56333333347,757314.023504274,-629505.7854090361,299924.7983019175,-720178.4640273536,678885.4946170058,392394.6928104572,-1215745.7936507934,1826240.8571428573,0.09198376491440396,-0.17735756003727632,0.10500313189118682,0.14897435897435862,-0.40170940170940117,0.026862026862026767,0.08264343177573108,-0.014678366540371357,-0.015977006575008668,0.26564102564102576,-0.20726495726495742,0.0347985347985349,,,,0.0023076923076923023,-0.006410256410256415,0.13553113553113552,0.014871794871794852,0.01495726495726496,-0.043956043956043966,0.06538461538461537,-0.01282051282051283,-0.015262515262515264,-0.056410256410256404,-0.006410256410256415,-0.03876678876678878,-0.026153846153846153,0.010683760683760687,-0.03754578754578755,,,,,0.06196581196581197,-0.07417582417582418,,-0.029914529914529912,0.05006105006105006,-0.26076923076923075,-0.22008547008547008,0.2802197802197802,0.12025641025641026,0.15598290598290596,-0.20909645909645908,0.05743589743589743,-0.025641025641025633,0.0012210012210012167,-0.00025641025641025706,0.05341880341880342,-0.04395604395604396,-0.006923076923076924,0.45940170940170943,-0.3705738705738706,,-0.6324786324786326,,,,,,,-0.009462759462759464,-0.05692307692307693,0.032051282051282055,-0.02655677655677656,,,,,,,,,,-0.8256410256410256,,,,,,,,,0.1412820512820513,,,,,,-0.04692307692307693,0.4465811965811966,,,,-0.00457875457875458,,,,-0.11358974358974358,,,-0.591025641025641,0.02564102564102564,,,,0.0641025641025641,0.018974358974358972,0.08547008547008547,-0.01984126984126984,0.05076923076923076,0.042735042735042736,0.004273504273504272,0.08282051282051282,-0.04059829059829061,0.06746031746031746,0.11205128205128206,0.0,-0.08363858363858365,0.07025641025641026,0.0641025641025641,0.1565934065934066,0.022051282051282046,0.17307692307692307,-0.10592185592185592,0.09923076923076923,0.4017094017094017,-0.3772893772893773,0.11205128205128206,-0.0811965811965812,0.4340659340659341,0.18179487179487178,,,0.5061538461538461,,,0.06076923076923076,-0.047008547008547,-0.00915750915750916,,-0.021367521367521368,-0.0003052503052503059,0.009487179487179486,0.01282051282051282,,0.006153846153846153,0.0,
7,212,583202.7150842793,80317.37908496731,-46517.259151569335,2316157.5793801295,114658.76027740678,-83959.3064672784,155.19340609924848,40.98644218310733,118.84024800902478,-73.1590163934427,190.3175069594804,123.76300476106508,-1167330.319385808,1042477.4517969498,-1079284.5269074654,2264370.9527863776,-4660519.156862745,4669741.282039812,14774.349829438142,105869.63318894058,-100772.17438179534,-1265274.75,1992729.5999999996,-73395.23043478187,-0.2122992580306129,0.09826793822710456,-0.12806620951907255,-0.5558995528035773,0.3660130718954244,-0.6168642361887722,-0.044681392422904365,-0.04671135139723992,-0.1032348315169116,-0.19547643618851085,0.1960784313725492,-0.4281418524317204,,,,0.075593395252838,-0.13071895424836602,0.13675787171649395,0.047987616099071206,-0.11764705882352944,0.20897636621188403,-0.03448572411420711,0.1045751633986928,-0.1486865975794627,-0.0010319917440660409,0.05882352941176472,-0.08640870796987998,-0.08806329549363603,0.08496732026143791,-0.11444121374785657,,,,,0.0130718954248366,-0.008200999030791023,-8.599931200550283e-05,0.0065359477124183,-0.015805561768433608,-0.0017199862401100496,-0.18300653594771243,0.15984492656378135,-0.04170966632266942,0.16993464052287582,-0.14605233728472378,0.010835913312693499,-0.0065359477124183,0.009741792788091156,,-0.006535947712418302,0.007008126444494146,,,0.3886279480106364,,,,,,,,,-0.00926961405601531,,,-0.002733666343597008,,,,,,,,,,-0.022875816993464082,,,-0.04609563123495012,,,-0.08789129686962503,-0.0196078431372549,,,,,,,,,,,,,,,,,,,,-0.5330237358101135,0.032679738562091505,,-0.006621947024423804,0.0392156862745098,0.05310768160242551,,,0.016153482939436865,0.043515651874785004,0.013071895424836603,0.06011580804691964,0.0783453732370141,-0.065359477124183,0.1221451825343572,,0.1895424836601307,-0.19513407390839732,0.11102511179910561,0.0784313725490196,0.17761375779716193,,0.0784313725490196,-0.045403712815924854,,0.33333333333333337,-0.20751012699122742,,-0.0392156862745098,0.2400159049678173,0.30280357757137943,-0.30065359477124187,0.07711424240165013,,,,,,,,,,0.0086859305125559,,,,,
8,213,240554.87662822806,370979.10722410394,-323595.73056500213,1465100.5965682056,868282.4976991885,-746445.4448150983,-30.837802241260164,100.49541067382964,26.974740242863447,153.9549689440994,91.97214941022287,109.23273780782222,-1377337.9524414805,1122907.4079331425,-1151380.0912971995,1877763.8739321101,-1441759.3420453975,1404918.6587017486,,,1040422.0891840374,,,2789049.444444445,0.08030814291230404,-0.10283470816237728,0.1960853393915818,-0.022251096313139485,0.20049542490268424,-0.261529741662192,0.0947018974317172,-0.02579693614244183,0.11346034204331157,0.028065616371609536,0.13169202770335176,-0.1982280293538572,,,,-0.003898002273834661,-0.012587836813103465,0.06124336256786586,0.16303394510313463,-0.02103028158333753,0.03162102499850844,0.02286828000649671,0.008947980385218102,-0.016615953702046382,-0.04995939580964756,-0.04312218795814163,-0.010828709504206196,-0.1320448270261491,0.06779232596936455,-0.06541972436012171,,,,0.022023712847165824,0.02906829786158435,-0.046089135493109,,,-0.008740528608078276,0.044567159330842876,-0.2925029068297861,0.30752938368832405,-0.058827350982621415,0.22774379455032606,-0.2312511186683372,0.006756537274646743,-0.002022142459936302,0.013781993914444247,0.006756537274646743,0.017845407208937875,-0.028608078276952453,,,0.6145218065747866,,,,,,,,,-0.0021180120517868863,,,,,,,,,,,0.012233961882614632,,0.004027935682962558,,,-0.06132856910833198,,,,,,,,,,,,,,,,,,,,,-0.21364300795842128,,,-0.5753451356179957,0.032101511551488805,,,,-0.016675616013364362,,,0.010619891414593394,0.056813383141140164,0.04489156261058592,-0.015870174810572166,0.06782523956472308,-0.036600778524847076,0.09990454030189128,,0.17071937718012234,-0.21377006145218064,0.09410427156082507,0.03220261867448561,0.16272895411968263,,,-0.11416383270687906,,0.3480612709165361,-0.23145993675795,,-0.06309084475001264,0.3651333452657956,0.2891992853662498,-0.29108740710783076,0.04292703299325816,0.42322559688159817,,,,-0.06971336130630403,-0.0021180120517868863,,,,,0.018856478438906022,,,,
9,214,280976.5690338031,124927.17745120375,-181991.78639226273,1541325.11296525,392902.061369414,-607138.7452144418,76.27060853052632,120.71568731527321,-63.286376585213986,110.21800258564963,34.356159895150654,159.57609118710036,811210.3477403349,-177154.949683778,-120583.49789727386,-2189921.1756009944,867529.4386344645,44953.73753936123,-244949.34933914337,380363.36148402,-783903.1122286785,-3267098.9930069926,656951.7884615385,-952077.0760869565,0.1309663343930787,-0.612113572379386,0.39470845296886714,0.3830708298793404,0.11593377382851067,-0.45724246513720246,-0.25315187686352725,-0.11820462108613361,0.015550519891471826,0.06511927788523542,0.38330675172780415,-0.4500899685110211,,,,-0.0663166620613429,0.007215007215007202,0.027350427350427364,-0.011006723772681248,0.009949115212273096,-0.013945119208277068,0.03154646771668046,0.027492974861395902,-0.05071974808816915,0.030533296490743295,-0.005088478772689309,0.01318038686459741,0.015243621626600354,-0.03956861851598695,0.02413405308142151,-0.0005986920880537896,-0.0006455532771322253,-0.0020017993702204223,,0.03379661274398116,-0.03909131803868646,-0.014783089251174357,,,0.042046605876393195,-0.1507936507936508,0.07606837606837602,-0.02187528783273464,0.1455532771322245,-0.0789698605488079,-0.009486966933775445,-0.020126072757651707,0.021075123706702656,-0.008289582757667863,-0.0012911065542644505,0.003688708951866848,,,-0.6477507872244714,,,,,,,,,-0.0020017993702204223,,,0.026765632028789926,,,,,,,,,,-0.5437505756654692,,,,,,,,,-0.07690890669614076,,,,,,-0.008888274845721654,0.2612212349054454,-0.27685560053981106,-0.21691074882564243,-0.0006455532771322253,,,,,,,,-0.34286635350465133,-0.029847345636819317,,,,-0.016171839856050377,0.002947407202726352,0.08122579175210753,0.008434547908232129,0.028921433176752324,0.061099718994455834,-0.008951866846603679,0.07023118725246386,-0.031784005468216,0.05506072874493928,,0.08517505885926938,-0.1542060278902384,0.08261950815142305,0.036454773296878545,0.005802968960863714,0.0542967670627245,0.08711171869066606,0.23256860098965365,0.14875195726259555,0.37631958684590266,-0.44754835807467386,,-0.26038581301739194,0.37107512370670265,,,,0.4929078014184397,,,,,,,,,,,,,,
